Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Albert Pujols","2 Tms",72,146,136,40,24,3,0,13,18,34,8,2,21,1,1,0,8,0,0,0.29411765,1177
2021,"Miguel Cabrera","DET",63,150,134,36,30,3,0,3,15,19,15,0,33,0,1,0,4,0,0,0.26865672,1744
2021,"David Peralta","ARI",64,92,86,23,13,8,1,1,11,12,5,0,16,1,0,0,0,0,1,0.26744186,2136
2021,"Carlos Santana","KCR",89,190,173,49,41,4,0,4,17,20,15,1,21,1,1,0,5,2,0,0.28323699,2396
2021,"Nelson Cruz","2 Tms",85,194,171,54,36,8,0,10,29,28,15,6,39,3,3,0,7,2,0,0.31578947,2434
2021,"Manny Pina","MIL",55,92,77,17,7,4,0,6,14,15,12,0,12,3,0,0,2,0,0,0.22077922,2829
2021,"Roberto Perez","CLE",32,61,52,9,5,0,0,4,7,9,8,0,18,1,0,0,0,0,0,0.17307692,2900
2021,"Tommy Pham","SDP",74,154,124,25,16,5,0,4,23,10,28,3,36,1,1,0,2,1,1,0.2016129,2967
2021,"Charlie Culberson","TEX",66,144,133,46,28,12,2,4,15,17,6,1,24,1,1,3,2,3,1,0.34586466,3298
2021,"Anthony Rizzo","2 Tms",88,171,151,49,36,6,0,7,19,21,11,0,17,8,1,0,4,1,0,0.32450331,3473
2021,"Eric Hosmer","SDP",89,158,149,39,27,9,0,3,12,19,5,0,27,2,1,1,5,1,1,0.26174497,3516
2021,"Michael Brantley","HOU",78,180,169,37,26,8,1,2,25,14,8,0,24,2,1,0,5,0,0,0.21893491,4106
2021,"Ryan Zimmerman","WSN",55,116,110,32,14,11,0,7,15,24,5,0,35,0,1,0,6,0,0,0.29090909,4220
2021,"Joey Votto","CIN",92,166,144,31,17,8,1,5,11,27,19,0,47,2,1,0,5,0,0,0.21527778,4314
2021,"Jed Lowrie","OAK",78,180,162,42,31,8,0,3,14,23,16,0,38,0,2,0,4,0,0,0.25925926,4418
2021,"Starlin Castro","WSN",46,89,83,29,23,6,0,0,5,11,5,0,20,0,1,0,1,0,0,0.34939759,4579
2021,"Jason Heyward","CHC",46,74,68,16,12,3,0,1,8,8,5,0,15,1,0,0,0,0,1,0.23529412,4940
2021,"Giancarlo Stanton","NYY",83,171,144,39,26,3,0,10,20,26,24,0,42,3,0,0,7,0,0,0.27083333,4949
2021,"Asdrubal Cabrera","2 Tms",65,123,109,28,17,9,0,2,13,16,12,1,25,1,1,0,2,1,0,0.25688073,4962
2021,"Josh Donaldson","MIN",73,167,140,36,18,5,0,13,26,28,25,1,41,1,1,0,6,0,0,0.25714286,5038
2021,"Justin Upton","LAA",53,107,89,20,11,2,0,7,15,15,17,0,31,1,0,0,4,1,0,0.2247191,5222
2021,"Justin Turner","LAD",83,177,159,41,24,7,0,10,30,30,15,0,27,2,1,0,2,2,0,0.25786164,5235
2021,"Robbie Grossman","DET",90,206,172,48,32,6,2,8,25,27,27,0,42,3,3,1,6,3,2,0.27906977,5254
