Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Albert Pujols","2 Tms",72,150,139,25,21,0,0,4,11,16,6,1,24,4,1,0,6,2,0,0.17985612,1177
2021,"Miguel Cabrera","DET",122,376,338,85,60,13,0,12,33,56,25,0,85,5,8,0,17,0,0,0.25147929,1744
2021,"David Peralta","ARI",145,446,401,103,67,22,7,7,46,51,41,3,76,2,2,0,9,2,0,0.25685786,2136
2021,"Carlos Santana","KCR",146,469,392,72,46,11,0,15,49,49,71,2,81,2,4,0,7,0,0,0.18367347,2396
2021,"Nelson Cruz","2 Tms",129,390,342,82,46,13,1,22,50,58,36,4,87,4,6,0,7,1,0,0.23976608,2434
2021,"Tommy Pham","SDP",149,407,351,84,52,19,2,11,51,39,50,0,92,3,3,0,8,13,5,0.23931624,2967
2021,"Mitch Moreland","OAK",76,208,190,46,27,10,1,8,23,23,14,0,44,2,2,0,5,0,0,0.24210526,3086
2021,"Anthony Rizzo","2 Tms",135,405,345,74,39,17,3,15,54,40,41,2,70,15,4,0,11,5,2,0.21449275,3473
2021,"Eric Hosmer","SDP",138,407,360,98,70,19,0,9,41,46,43,2,72,3,1,0,8,4,3,0.27222222,3516
2021,"Michael Brantley","HOU",104,328,300,109,80,21,2,6,43,33,25,1,29,3,0,0,6,1,0,0.36333333,4106
2021,"Ryan Zimmerman","WSN",91,157,145,30,18,5,0,7,12,22,11,0,42,0,1,0,3,0,0,0.20689655,4220
2021,"Joey Votto","CIN",121,367,304,88,42,15,0,31,62,72,58,6,80,2,3,0,2,1,0,0.28947368,4314
2021,"Jed Lowrie","OAK",123,332,295,70,39,20,0,11,41,46,33,1,70,2,2,0,4,0,0,0.23728814,4418
2021,"Starlin Castro","WSN",84,257,232,60,43,14,0,3,20,27,21,1,42,0,3,0,5,0,1,0.25862069,4579
2021,"Mike Moustakas","CIN",56,164,148,35,18,11,0,6,20,21,13,0,35,1,2,0,5,0,0,0.23648649,4892
2021,"Jason Heyward","CHC",97,279,255,53,32,12,2,7,27,22,22,1,53,2,0,0,4,5,0,0.20784314,4940
2021,"Giancarlo Stanton","NYY",135,408,366,100,59,16,0,25,44,71,39,1,115,0,3,0,15,0,0,0.27322404,4949
2021,"Asdrubal Cabrera","2 Tms",91,229,200,43,26,12,0,5,21,26,24,0,55,2,3,0,6,0,0,0.215,4962
2021,"Stephen Vogt","2 Tms",71,190,169,29,17,5,1,6,14,18,20,2,42,0,1,0,2,0,0,0.17159763,5000
2021,"Josh Donaldson","MIN",123,376,317,77,43,21,0,13,47,44,49,1,73,3,7,0,16,0,0,0.24290221,5038
2021,"Justin Upton","LAA",83,255,229,47,27,10,0,10,32,26,22,0,76,0,3,0,7,3,1,0.20524017,5222
